Ref,Screen,Element,Type,Description,Rules and behaviour,Applies to
REC-01.01,Dashboard,Date selector,Filter,Which day's clinic is shown.,Defaults to today.,Both
REC-01.02,Dashboard,Queue columns,Board,"Six columns in workflow order: To confirm, Confirmed, In the waiting room, With the doctor, Ready to bill, Settled.",A visit appears in one column only.,Both
REC-01.03,Dashboard,Patient card,Card,"UHID, name, age and sex, appointment time, doctor and the number to ring.","For a child the guardian's number is shown, because that is who answers.",Both
REC-01.04,Dashboard,Column counts,Indicator,How many patients sit in each column.,,Both
REC-01.05,Dashboard,Call button,Action,Rings the patient for the confirmation call.,"A tel: link, shown on cards awaiting confirmation.",Both
REC-01.06,Dashboard,Confirm,Action,Records that the patient confirmed by telephone.,Moves the visit from Booked to Confirmed.,Both
REC-01.07,Dashboard,Mark arrived,Action,Records that the patient has reached the clinic.,Stamps the arrival time.,Both
REC-01.08,Dashboard,Send to cabin,Action,Sends the patient in to the doctor.,Only from the waiting room.,Both
REC-01.09,Dashboard,Bill,Action,Opens billing for a finished consultation.,Enabled only after the doctor completes the consultation and sets the fee.,Both
REC-01.10,Dashboard,New booking,Action,Starts a new appointment.,,Both
REC-01.11,Dashboard,Patient search,Field,"Finds a patient by UHID, mobile number or name.",,Both
REC-02.01,Patient Registration,First name,Field,Given name.,Required.,Both
REC-02.02,Patient Registration,Last name,Field,Family name.,,Both
REC-02.03,Patient Registration,Date of birth,Field,Drives age everywhere else in the system.,Required. Determines whether the patient is treated as paediatric.,Both
REC-02.04,Patient Registration,Sex,Field,"Male, female or other.",Required. Growth references are published separately for boys and girls; a child recorded as other cannot be charted.,Both
REC-02.05,Patient Registration,Mobile number,Field,Primary contact number.,Required. Indian 10-digit format.,Both
REC-02.06,Patient Registration,Alternate phone,Field,Second contact number.,,Both
REC-02.07,Patient Registration,Email,Field,Optional. Not used for appointments.,,Both
REC-02.08,Patient Registration,"Address, city, pincode",Field,Postal address.,,Both
REC-02.09,Patient Registration,Blood group,Field,"Recorded once, shown on the chart.",,Both
REC-02.10,Patient Registration,Guardian name,Field,Parent or guardian accompanying the child.,Captured for patients under 18.,Paediatric
REC-02.11,Patient Registration,Guardian phone,Field,The guardian's number.,Becomes the number the clinic actually rings for a child.,Paediatric
REC-02.12,Patient Registration,Guardian relation,Field,"Mother, father or other.",,Paediatric
REC-02.13,Patient Registration,Referred by,Field,Referring doctor or source.,,Both
REC-02.14,Patient Registration,Allergies,Field,Captured at registration.,"Stored on the standing history, so it shows on every future visit.",Both
REC-02.15,Patient Registration,UHID,Read-only,"Clinic-unique identifier, e.g. CEMH-26-00001.","Generated on save from a database sequence, so two receptionists registering at once cannot be given the same number.",Both
REC-02.16,Patient Registration,Save and book,Action,Registers the patient and goes straight to booking.,,Both
REC-03.01,Patient Search,Search field,Field,"Accepts UHID, mobile number or name.",UHID matching ignores case.,Both
REC-03.02,Patient Search,Results table,Table,"UHID, name, age, sex and mobile number.",,Both
REC-03.03,Patient Search,Open patient,Action,Opens the patient's record.,,Both
REC-03.04,Patient Search,Book appointment,Action,Books for this patient without searching again.,,Both
REC-03.05,Patient Search,Register new,Action,Offered when the search finds nobody.,,Both
REC-03.06,Patient Search,Empty state,Message,States plainly that no patient matched.,Never a blank screen.,Both
REC-04.01,Appointment Booking,Patient,Field,"Chosen by search, or registered on the spot.",Required.,Both
REC-04.02,Appointment Booking,Doctor,Field,Which doctor the appointment is with.,Required.,Both
REC-04.03,Appointment Booking,Date,Field,Appointment date.,"Working days only, and within the booking horizon set for the clinic.",Both
REC-04.04,Appointment Booking,Slot,Field,The free times for that doctor on that day.,Only free slots are offered. Slot length comes from clinic settings.,Both
REC-04.05,Appointment Booking,Reason,Field,Chief complaint or purpose of the visit.,,Both
REC-04.06,Appointment Booking,Follow-up,Field,Marks this as a follow-up rather than a new problem.,,Both
REC-04.07,Appointment Booking,Conflict message,Validation,Explains in plain words when a slot was taken while the form was open.,"The database refuses overlapping bookings outright, so this can happen.",Both
